Date,Aircraft,Origin,Destination,Departure,Arrival,Duration
2019-06-06,AT72,Whale Cove (CYXN),Thompson (CYTH),12:08,13:50,PT1H42M
2019-06-06,AT72,Thompson (CYTH),Arviat (CYEK),09:27,10:49,PT1H22M
2019-06-05,AT72,Gjoa Haven (CYHK),Thompson (CYTH),16:53,20:56,PT3H3M
2019-06-05,AT72,Taloyoak (CYYH),Gjoa Haven (CYHK),15:46,16:06,PT20M
2019-06-05,AT72,Rankin Inlet (CYRT),Taloyoak (CYYH),14:39,15:15,PT1H36M
2019-06-05,AT72,Arviat (CYEK),Rankin Inlet (CYRT),12:08,12:42,PT34M
2019-06-03,AT72,Arviat (CYEK),Thompson (CYTH),18:55,20:12,PT1H17M
2019-06-03,AT72,Rankin Inlet (CYRT),Arviat (CYEK),17:51,18:23,PT32M
2019-06-03,AT72,Thompson (CYTH),Arviat (CYEK),09:51,11:18,PT1H27M
2019-06-02,AT72,Rankin Inlet (CYRT),Thompson (CYTH),17:40,19:22,PT1H42M
2019-06-02,AT72,Churchill (CYYQ),Rankin Inlet (CYRT),16:00,17:10,PT1H10M
2019-06-02,AT72,Rankin Inlet (CYRT),Churchill (CYYQ),13:59,15:06,PT1H7M
2019-06-02,AT72,Thompson (CYTH),Rankin Inlet (CYRT),10:45,12:45,PT2H
2019-06-01,AT72,Baker Lake (CYBK),Thompson (CYTH),18:20,20:21,PT2H1M
2019-06-01,AT72,Thompson (CYTH),Baker Lake (CYBK),15:31,17:41,PT2H10M
2019-05-28,AT72,Arviat (CYEK),Thompson (CYTH),14:25,15:35,PT1H10M
2019-05-28,AT72,Baker Lake (CYBK),Arviat (CYEK),13:02,14:00,PT58M
2019-05-28,AT72,Thompson (CYTH),Baker Lake (CYBK),10:01,12:21,PT2H20M
2019-05-27,AT72,Arviat (CYEK),Thompson (CYTH),11:23,12:46,PT1H23M
2019-05-27,AT72,Thompson (CYTH),Arviat (CYEK),08:52,10:18,PT1H26M
2019-05-26,AT72,Arviat (CYEK),Thompson (CYTH),19:49,21:08,PT1H19M
2019-05-26,AT72,Rankin Inlet (CYRT),Arviat (CYEK),18:34,19:06,PT32M
2019-05-26,AT72,Gjoa Haven (CYHK),Rankin Inlet (CYRT),13:16,16:03,PT1H47M
2019-05-26,AT72,Thompson (CYTH),Gjoa Haven (CYHK),10:00,12:22,PT3H22M
2019-05-25,AT72,Whale Cove (CYXN),Thompson (CYTH),16:33,18:04,PT1H31M
2019-05-25,AT72,Thompson (CYTH),Whale Cove (CYXN),13:34,15:20,PT1H46M
